user_id,app_name,age,gender,country,urban_rural,income_level,employment_status,education_level,relationship_status,has_children,exercise_hours_per_week,sleep_hours_per_night,diet_quality,smoking,alcohol_frequency,perceived_stress_score,self_reported_happiness,body_mass_index,blood_pressure_systolic,blood_pressure_diastolic,daily_steps_count,weekly_work_hours,hobbies_count,social_events_per_month,books_read_per_year,volunteer_hours_per_month,travel_frequency_per_year,daily_active_minutes_instagram,sessions_per_day,posts_created_per_week,reels_watched_per_day,stories_viewed_per_day,likes_given_per_day,comments_written_per_day,dms_sent_per_week,dms_received_per_week,ads_viewed_per_day,ads_clicked_per_day,time_on_feed_per_day,time_on_explore_per_day,time_on_messages_per_day,time_on_reels_per_day,followers_count,following_count,uses_premium_features,notification_response_rate,account_creation_year,last_login_date,average_session_length_minutes,content_type_preference,preferred_content_theme,privacy_setting_level,two_factor_auth_enabled,biometric_login_used,linked_accounts_count,subscription_status,user_engagement_score
18,Instagram,15,Male,Brazil,Urban,Middle,Retired,Bachelor’s,Single,Yes,11.6,6.2,Average,No,Weekly,40,2,26.3,151,78,7981,58.9,2,2,7,6.2,1,473.0,21,16,300,150,271,80,60,65,39,10,256,122,74,143,595,1334,No,0.59,2013,2025-11-19,22.5,Live,Other,Public,No,No,2,Premium,1.01
19,Instagram,34,Female,Brazil,Urban,Low,Retired,High school,In a relationship,No,7.3,6.0,Excellent,No,Rarely,20,3,29.6,109,67,8194,53.9,3,2,11,1.8,5,224.0,8,6,176,115,150,29,29,34,20,5,102,32,35,65,812,1307,No,0.61,2016,2025-06-30,28.0,Reels,Art,Friends only,Yes,Yes,3,Free,1.0
20,Instagram,65,Prefer not to say,Brazil,Suburban,Low,Full-time employed,Bachelor’s,Married,Yes,8.0,8.0,Average,Yes,Rarely,12,5,27.1,126,92,8048,40.3,3,0,9,0.3,1,96.0,4,3,95,68,70,21,20,16,14,1,43,14,19,32,1499,3463,No,0.05,2025,2025-09-08,24.0,Stories,Travel,Private,No,Yes,1,Free,1.25
21,Instagram,14,Male,Other,Urban,Lower-middle,Retired,Master’s,Single,No,3.6,6.0,Good,No,Several times a week,7,5,27.8,148,80,8006,26.9,3,4,5,2.9,3,141.0,5,9,209,78,99,30,23,24,16,2,83,28,23,37,1334,1930,No,0.24,2023,2025-06-17,28.2,Videos,Food,Public,No,Yes,2,Free,1.31
22,Instagram,36,Male,India,Urban,Middle,Full-time employed,High school,Married,No,10.6,7.9,Average,No,Rarely,6,8,23.3,92,70,7979,20.0,3,5,10,1.9,5,5.0,1,1,33,40,29,6,6,5,4,3,2,1,1,1,4391,3451,No,0.33,2011,2025-07-11,5.0,Live,Travel,Private,Yes,Yes,3,Premium,7.33
23,Instagram,56,Male,India,Urban,Lower-middle,Student,Bachelor’s,Single,No,9.6,7.7,Excellent,No,Weekly,10,1,23.7,91,97,8043,43.0,6,3,5,1.2,2,187.0,11,0,171,100,102,47,21,29,27,8,81,35,36,37,2238,1279,No,0.08,2014,2025-02-01,17.0,Reels,Travel,Friends only,No,No,1,Free,1.04
24,Instagram,42,Prefer not to say,United States,Suburban,Lower-middle,Full-time employed,Master’s,Single,No,5.5,5.9,Excellent,No,Rarely,25,4,24.8,103,82,7925,37.5,4,5,9,1.6,4,221.0,8,5,152,108,134,51,25,43,27,7,107,33,46,50,7667,10000,No,0.56,2020,2025-12-24,27.6,Live,Other,Public,Yes,No,4,Free,1.13
25,Instagram,50,Female,United States,Urban,Middle,Full-time employed,Bachelor’s,Single,No,9.8,5.6,Poor,No,Rarely,22,10,33.0,134,98,7977,45.2,2,0,12,2.6,0,59.0,3,2,74,54,59,10,10,17,10,1,26,9,11,18,847,1015,No,0.79,2021,2025-06-28,19.7,Mixed,Art,Friends only,No,No,3,Free,1.42
26,Instagram,14,Female,India,Urban,Low,Full-time employed,Some college,Divorced,No,6.2,6.8,Good,Yes,Rarely,14,2,27.1,136,82,7994,39.0,3,2,14,2.9,0,213.0,8,11,272,115,137,46,28,36,23,3,121,54,44,69,1135,950,No,0.45,2024,2025-08-05,26.6,Reels,Food,Private,Yes,No,3,Free,1.22
27,Instagram,33,Female,United States,Urban,Low,Freelancer,High school,Married,No,7.8,7.9,Average,No,Weekly,30,8,20.4,143,64,8072,39.4,2,6,8,1.1,5,224.0,14,5,189,104,148,37,29,32,21,4,132,63,45,72,125,306,No,0.88,2011,2025-09-14,16.0,Mixed,Food,Friends only,Yes,No,2,Free,1.05
28,Instagram,45,Female,Germany,Urban,Lower-middle,Full-time employed,Master’s,In a relationship,Yes,4.0,7.8,Average,No,Never,0,9,22.7,131,96,7941,41.5,4,4,13,4.8,3,5.0,1,3,34,28,32,3,7,5,5,4,3,1,1,1,988,1324,No,0.68,2022,2025-08-31,5.0,Reels,Tech,Public,Yes,Yes,0,Free,7.83
29,Instagram,24,Male,India,Urban,Middle,Full-time employed,Bachelor’s,Married,Yes,6.8,6.2,Good,No,Several times a week,30,1,25.2,117,75,7925,44.5,2,1,12,5.1,5,329.0,16,16,300,150,188,60,39,45,34,8,160,92,46,119,244,471,No,0.11,2015,2025-09-20,20.6,Reels,Fashion,Private,No,No,3,Free,1.08
30,Instagram,34,Female,Brazil,Suburban,Middle,Student,Bachelor’s,Single,No,6.7,7.2,Good,Yes,Several times a week,26,7,29.7,95,96,8018,35.7,6,6,14,0.1,1,241.0,11,11,183,137,130,33,26,26,30,5,112,27,40,88,1945,3236,Yes,0.15,2023,2025-12-26,21.9,Photos,Fashion,Public,No,No,1,Free,0.95
31,Instagram,56,Female,United States,Urban,Lower-middle,Part-time,Some college,Married,No,8.3,6.9,Average,Yes,Several times a week,3,2,20.9,138,94,7877,23.0,2,2,6,3.7,4,67.0,3,2,93,57,46,15,15,19,14,2,36,8,16,25,729,637,Yes,0.8,2022,2025-09-15,22.3,Photos,Art,Public,Yes,No,2,Free,1.21
32,Instagram,37,Male,Brazil,Urban,Low,Full-time employed,High school,Single,Yes,1.0,7.3,Good,No,Never,22,1,23.1,157,79,7873,32.1,3,3,6,3.1,4,263.0,24,14,206,146,136,39,29,46,21,6,140,66,52,83,1790,3556,No,0.02,2015,2025-05-19,11.0,Live,Food,Public,Yes,No,2,Free,0.97
33,Instagram,61,Female,United States,Suburban,Low,Unemployed,Bachelor’s,Married,Yes,10.1,7.7,Average,No,Weekly,22,9,25.1,99,82,7998,58.3,1,5,12,4.1,3,107.0,4,3,107,66,88,20,28,16,13,3,47,31,24,31,1492,1006,No,0.97,2014,2025-02-18,26.8,Photos,Tech,Private,No,No,1,Business,1.27
34,Instagram,39,Male,Brazil,Suburban,Lower-middle,Unemployed,Some college,Divorced,No,5.9,7.9,Poor,Yes,Rarely,27,8,23.3,155,95,7934,31.6,5,6,14,0.8,3,185.0,12,3,169,89,105,33,28,31,24,4,81,28,41,51,3885,6249,No,0.77,2017,2025-10-27,15.4,Live,Fashion,Public,Yes,Yes,2,Free,0.97
35,Instagram,54,Male,Brazil,Rural,High,Full-time employed,High school,Married,No,2.2,7.8,Average,No,Weekly,10,6,25.2,131,81,8053,44.9,4,4,11,2.3,1,67.0,8,9,86,50,53,18,19,16,9,3,39,12,8,17,766,1202,Yes,0.89,2012,2025-06-07,8.4,Videos,Travel,Public,Yes,Yes,1,Free,1.71
36,Instagram,40,Male,Australia,Urban,Upper-middle,Full-time employed,Bachelor’s,Divorced,No,1.2,7.2,Poor,Former,Never,23,5,25.0,104,92,7941,44.8,4,5,10,1.5,2,180.0,10,2,144,103,137,34,23,28,23,3,73,43,21,51,111,276,Yes,0.27,2011,2025-10-23,18.0,Mixed,Fitness,Friends only,Yes,No,0,Free,1.17
37,Instagram,28,Non-binary,India,Urban,Low,Full-time employed,Bachelor’s,In a relationship,No,5.8,7.9,Average,No,Rarely,3,7,22.6,94,73,8177,55.1,3,6,5,13.0,3,37.0,1,3,163,48,51,16,18,13,12,3,16,7,8,9,248,102,No,0.9,2011,2025-07-17,37.0,Reels,Food,Friends only,No,Yes,2,Free,2.42
38,Instagram,27,Non-binary,Australia,Urban,Low,Student,Bachelor’s,Divorced,No,9.7,6.9,Excellent,Yes,Never,12,2,20.1,112,93,7976,35.4,3,1,10,8.0,3,145.0,11,2,190,83,84,25,21,28,14,3,87,24,20,57,667,875,No,0.24,2016,2025-03-09,13.2,Photos,Art,Public,Yes,No,4,Free,0.96
39,Instagram,59,Male,Brazil,Urban,Low,Full-time employed,Some college,Married,Yes,11.7,6.1,Average,No,Weekly,22,9,29.4,113,79,8055,32.6,4,2,13,4.4,4,41.0,3,5,73,45,42,14,13,15,9,4,19,11,6,9,601,267,Yes,0.87,2010,2025-05-29,13.7,Stories,Tech,Private,Yes,No,2,Free,2.02
40,Instagram,63,Female,United Kingdom,Urban,Upper-middle,Full-time employed,Master’s,In a relationship,No,13.0,6.3,Poor,No,Never,1,6,24.7,154,69,7952,48.6,2,1,12,5.0,4,5.0,1,5,41,25,22,8,10,5,9,1,3,1,1,1,1010,1416,No,0.99,2012,2025-02-09,5.0,Live,Other,Public,Yes,No,3,Free,8.83
41,Instagram,56,Female,South Korea,Suburban,Middle,Part-time,High school,In a relationship,No,12.7,5.4,Excellent,No,Never,32,7,25.6,139,83,7994,19.0,7,1,12,8.5,2,187.0,7,6,141,93,105,24,23,31,24,4,102,51,44,54,1585,1677,No,0.42,2023,2025-12-21,26.7,Photos,Fashion,Private,Yes,No,3,Free,0.91
42,Instagram,64,Male,South Korea,Urban,Low,Unemployed,Some college,In a relationship,Yes,3.7,6.2,Poor,Former,Daily,10,6,18.6,124,79,8100,28.9,3,4,12,5.4,0,84.0,5,4,91,71,68,21,23,19,12,3,39,22,16,27,394,625,Yes,0.74,2010,2025-02-28,16.8,Mixed,Fashion,Private,Yes,No,4,Free,1.44
43,Instagram,15,Female,Other,Urban,Low,Full-time employed,High school,Married,No,7.7,8.7,Good,No,Several times a week,19,4,29.7,126,97,8175,33.4,4,2,11,12.5,1,237.0,15,15,260,138,144,46,41,29,28,13,140,56,35,84,1754,2018,No,0.73,2015,2025-08-20,15.8,Mixed,Travel,Private,No,Yes,2,Business,1.18
44,Instagram,49,Female,Germany,Urban,Upper-middle,Freelancer,Master’s,Married,No,7.2,7.5,Average,No,Rarely,26,7,25.9,137,73,8082,30.6,3,3,12,4.6,4,260.0,18,9,203,119,157,46,29,36,25,7,108,35,48,92,4919,10000,No,0.66,2022,2025-12-01,14.4,Stories,Tech,Friends only,No,Yes,3,Free,1.06
45,Instagram,63,Male,Brazil,Suburban,Middle,Freelancer,High school,Single,No,8.5,7.0,Average,No,Daily,4,2,27.3,97,67,8143,26.0,3,7,8,7.9,4,5.0,1,2,45,29,29,10,11,3,10,1,3,1,1,1,136,280,No,0.14,2018,2025-11-23,5.0,Mixed,Art,Private,No,No,4,Free,9.17
46,Instagram,19,Female,Brazil,Urban,Low,Full-time employed,Master’s,Married,No,2.9,6.3,Poor,Yes,Never,19,1,23.2,96,68,8085,48.5,2,7,6,1.0,2,302.0,11,13,300,144,187,43,27,46,23,6,176,37,60,101,1686,3518,Yes,0.05,2025,2025-12-10,27.5,Live,Food,Friends only,Yes,No,3,Free,1.03
47,Instagram,33,Female,South Korea,Rural,Middle,Part-time,Bachelor’s,In a relationship,Yes,7.4,9.9,Average,No,Rarely,7,1,22.8,156,89,7888,22.6,6,3,15,5.1,3,158.0,5,3,144,95,104,24,25,28,19,2,77,43,35,62,890,1354,No,0.35,2013,2025-10-06,31.6,Videos,Other,Friends only,Yes,Yes,1,Free,1.01
48,Instagram,21,Male,United States,Urban,Lower-middle,Full-time employed,Bachelor’s,Single,No,2.5,6.1,Excellent,Yes,Rarely,2,9,25.2,105,63,8089,36.6,3,5,14,4.0,2,27.0,1,11,125,32,39,9,19,8,6,0,13,3,3,9,1200,2272,No,0.26,2021,2025-01-03,27.0,Mixed,Music,Private,Yes,Yes,2,Free,3.21
49,Instagram,51,Female,Australia,Rural,Middle,Full-time employed,Bachelor’s,Divorced,No,9.5,8.0,Poor,Former,Rarely,17,6,21.2,153,93,7968,40.7,5,3,6,2.0,2,225.0,15,5,179,113,162,34,27,36,26,6,102,63,52,85,356,406,No,0.18,2011,2025-05-31,15.0,Videos,Food,Public,Yes,Yes,4,Free,1.08
50,Instagram,30,Male,Japan,Suburban,Middle,Full-time employed,Bachelor’s,In a relationship,Yes,5.5,6.4,Good,No,Rarely,39,1,22.8,108,62,8123,31.7,2,3,10,7.4,4,405.0,13,12,300,150,222,61,63,49,38,7,243,104,72,123,1404,630,No,0.8,2020,2025-06-02,31.2,Reels,Music,Public,Yes,No,1,Free,0.94
51,Instagram,16,Male,United States,Suburban,Middle,Student,Bachelor’s,In a relationship,Yes,4.8,5.5,Good,Yes,Daily,35,8,21.3,95,95,7981,30.5,1,3,8,2.5,6,239.0,8,14,273,116,141,44,42,33,16,8,121,25,29,71,4237,4438,Yes,0.82,2018,2025-05-07,29.9,Reels,Travel,Public,Yes,Yes,0,Free,1.13
52,Instagram,37,Female,Brazil,Suburban,Middle,Student,Bachelor’s,Widowed,Yes,2.7,7.6,Average,Former,Never,35,6,22.4,152,75,7941,39.4,2,5,11,4.7,4,296.0,18,7,237,134,185,40,38,43,24,13,174,84,54,114,408,513,Yes,0.95,2015,2025-03-12,16.4,Mixed,Other,Public,Yes,No,1,Free,0.96
53,Instagram,26,Non-binary,United States,Urban,High,Freelancer,High school,In a relationship,No,4.2,6.0,Poor,No,Never,32,4,30.3,101,92,8065,54.5,6,4,8,2.3,4,323.0,17,5,300,150,188,56,47,41,22,6,148,48,43,123,278,205,No,0.68,2018,2025-06-15,19.0,Reels,Travel,Friends only,Yes,No,3,Free,0.97
54,Instagram,62,Male,Brazil,Urban,Lower-middle,Full-time employed,Bachelor’s,In a relationship,No,1.3,7.0,Average,Former,Rarely,11,1,26.0,103,71,8047,42.6,3,0,8,6.9,2,207.0,10,7,149,103,114,43,31,40,15,6,97,39,45,54,442,662,No,0.09,2021,2025-05-05,20.7,Live,Food,Private,Yes,Yes,0,Free,1.06
55,Instagram,21,Male,Japan,Urban,Middle,Full-time employed,Bachelor’s,In a relationship,No,4.6,5.5,Poor,No,Weekly,34,5,28.9,124,82,7958,36.8,2,0,15,2.1,3,329.0,16,8,300,150,164,53,37,61,44,6,143,49,66,116,11441,9950,No,0.95,2012,2025-01-29,20.6,Videos,Tech,Private,Yes,Yes,1,Free,0.89
56,Instagram,38,Female,India,Suburban,Low,Full-time employed,High school,Single,No,10.5,5.4,Poor,Yes,Never,26,9,23.5,100,72,8061,37.7,4,2,7,3.5,5,217.0,9,6,160,117,115,39,25,37,19,9,98,36,35,46,146,177,No,0.37,2019,2026-01-02,24.1,Mixed,Art,Friends only,Yes,No,1,Free,0.97
57,Instagram,65,Female,Brazil,Rural,Middle,Full-time employed,High school,Married,No,4.1,7.6,Excellent,No,Rarely,18,4,18.7,151,79,8010,40.1,1,5,13,6.1,4,123.0,5,3,126,79,96,26,21,22,10,0,50,32,29,38,526,617,Yes,0.98,2018,2025-07-04,24.6,Live,Tech,Friends only,Yes,No,3,Free,1.27
58,Instagram,14,Female,Canada,Urban,Low,Full-time employed,PhD,Divorced,Yes,6.9,6.7,Average,No,Never,4,9,20.1,142,88,8006,36.0,1,2,8,6.3,4,28.0,1,7,141,44,29,10,14,10,3,3,12,6,5,7,561,431,Yes,0.81,2022,2025-03-22,28.0,Reels,Art,Public,No,Yes,4,Free,2.41
59,Instagram,32,Male,India,Urban,Lower-middle,Full-time employed,High school,Divorced,No,18.5,8.3,Excellent,No,Rarely,27,4,26.8,117,99,7887,52.6,3,5,10,9.9,0,251.0,18,4,179,121,137,43,37,26,26,7,102,64,38,79,5588,10000,Yes,0.27,2011,2025-12-27,13.9,Stories,Music,Private,No,Yes,2,Free,0.93
60,Instagram,40,Male,United States,Suburban,Lower-middle,Freelancer,Master’s,Single,No,1.8,6.2,Good,No,Never,17,10,27.0,102,63,8010,44.9,1,9,7,1.6,4,94.0,11,4,92,60,67,21,21,17,15,3,44,23,21,27,1680,2399,Yes,0.02,2025,2025-07-18,8.5,Stories,Other,Public,Yes,No,0,Free,1.27
61,Instagram,59,Male,India,Urban,Low,Unemployed,Bachelor’s,Married,No,13.8,6.5,Average,No,Never,30,8,23.4,151,85,8080,42.5,1,3,13,3.7,3,195.0,23,4,169,99,107,35,35,29,19,8,96,29,29,49,1011,2419,No,0.56,2015,2025-09-13,8.5,Reels,Tech,Private,Yes,Yes,3,Free,0.96
62,Instagram,19,Female,Canada,Urban,Upper-middle,Freelancer,Bachelor’s,Married,Yes,5.0,5.6,Average,No,Never,26,4,23.8,136,67,7888,54.9,4,6,10,5.1,2,273.0,13,7,277,135,169,49,29,38,20,5,161,42,38,88,162,232,No,0.77,2020,2025-09-26,21.0,Photos,Tech,Public,Yes,No,1,Free,1.05
63,Instagram,56,Male,Brazil,Urban,Middle,Unemployed,Bachelor’s,Single,Yes,8.0,8.2,Poor,No,Rarely,19,2,24.3,157,97,7914,29.4,5,4,10,7.7,6,258.0,13,2,202,135,157,46,27,22,26,7,118,58,52,71,1427,1707,No,0.91,2014,2025-05-10,19.8,Live,Music,Public,Yes,No,0,Business,0.98
64,Instagram,20,Female,Canada,Rural,Middle,Student,Bachelor’s,In a relationship,No,12.3,7.7,Good,No,Weekly,6,1,27.5,106,61,7981,44.9,4,3,7,6.2,4,147.0,8,5,208,100,109,25,26,31,20,3,69,24,36,37,708,1548,No,0.17,2024,2025-12-23,18.4,Stories,Food,Private,No,No,2,Business,1.18
65,Instagram,59,Male,Canada,Suburban,Low,Freelancer,Other,Single,Yes,2.2,8.4,Excellent,No,Rarely,8,7,18.5,146,93,7926,42.9,2,5,14,1.8,2,66.0,2,2,73,55,68,17,14,10,17,1,37,14,11,22,2189,3680,No,0.68,2025,2025-07-09,33.0,Reels,Tech,Private,No,Yes,2,Free,1.61
66,Instagram,47,Female,United States,Suburban,Low,Unemployed,Bachelor’s,In a relationship,No,7.6,8.2,Average,No,Several times a week,0,6,28.5,106,70,8082,41.1,1,2,5,1.5,2,5.0,1,7,47,34,30,9,8,5,7,1,2,1,1,2,3126,6378,No,0.95,2018,2025-06-11,5.0,Live,Food,Private,Yes,Yes,2,Premium,11.5
67,Instagram,26,Male,United States,Urban,Lower-middle,Freelancer,Bachelor’s,In a relationship,No,8.9,6.7,Poor,No,Never,38,8,21.4,107,83,8020,54.2,3,3,6,3.2,2,304.0,21,9,285,150,189,44,33,51,29,4,130,70,58,72,763,343,No,0.05,2013,2025-08-19,14.5,Live,Music,Private,Yes,Yes,3,Business,1.0
68,Instagram,29,Male,Other,Rural,Lower-middle,Unemployed,Some college,Divorced,No,7.1,7.0,Excellent,No,Never,29,4,23.1,106,85,7966,22.4,1,2,10,3.7,3,281.0,10,4,294,150,155,39,36,44,22,10,120,77,64,106,4829,10000,No,0.56,2010,2025-02-18,28.1,Photos,Tech,Public,Yes,No,5,Free,0.87
69,Instagram,48,Female,Other,Urban,Lower-middle,Unemployed,Master’s,Single,Yes,1.9,5.8,Excellent,No,Rarely,29,3,25.7,148,73,8030,48.3,5,6,12,1.3,2,270.0,11,5,207,139,150,40,35,47,25,5,119,44,58,106,1323,2018,Yes,0.3,2023,2025-05-25,24.5,Mixed,Music,Private,Yes,Yes,0,Business,0.9
70,Instagram,62,Male,Canada,Urban,Lower-middle,Part-time,Bachelor’s,In a relationship,No,4.9,7.7,Average,No,Rarely,15,8,27.7,133,83,8002,30.3,5,2,12,0.9,6,83.0,4,5,82,57,68,21,22,11,10,3,48,10,9,23,288,698,Yes,0.85,2022,2025-04-27,20.8,Live,Food,Private,Yes,No,2,Business,1.49
71,Instagram,52,Female,United States,Suburban,Lower-middle,Freelancer,High school,Single,No,7.6,7.2,Average,No,Weekly,31,10,27.6,129,96,8018,51.4,1,8,13,7.7,4,169.0,5,3,146,115,72,29,27,21,16,4,91,32,17,65,3026,6005,No,0.22,2022,2025-07-30,33.8,Photos,Art,Friends only,No,No,1,Business,0.82
72,Instagram,16,Female,South Korea,Urban,Lower-middle,Freelancer,Some college,Single,No,9.3,7.2,Poor,No,Rarely,8,5,33.7,110,91,7940,46.9,3,3,7,3.1,1,148.0,6,9,198,89,87,30,24,21,20,5,67,27,22,38,2395,3066,No,0.48,2020,2025-12-22,24.7,Stories,Art,Friends only,No,No,1,Free,1.17
73,Instagram,14,Female,Australia,Suburban,Middle,Student,Bachelor’s,Married,No,7.5,6.7,Excellent,No,Weekly,11,2,33.5,110,79,8109,41.9,3,6,10,5.1,3,269.0,10,3,300,146,129,38,32,34,24,6,155,64,54,86,492,1086,No,0.22,2014,2025-08-10,26.9,Photos,Other,Friends only,No,Yes,1,Business,0.79
